"ProductTitle","Price","Ratings","Reviews","Description"
"KAER RX580 8GB Graphics Card GDDR5 256bit Computer Graphics Card with Dual Fans 1284/7000MHz,PCI Express 3.0 Gaming Graphics Card, DVI HDMI DP Desktop",99.9,4.3,"183","FREE delivery to Philippines"
"maxsun AMD Radeon RX 550 4GB GDDR5 ITX Computer PC Gaming Video Graphics Card GPU 128-Bit DirectX 12 PCI Express X16 3.0 DVI-D Dual Link, HDMI, DisplayPort",83.9,4.3,"1,315","FREE delivery Mon, Jan 6 to Philippines "
"MSI Gaming GeForce RTX 3060 12GB 15 Gbps GDRR6 192-Bit HDMI/DP PCIe 4 Torx Twin Fan Ampere OC Graphics Card",279.9,4.7,"3,537","FREE delivery Mon, Jan 6 to Philippines "
"MSI GeForce RTX 4070 Ti Super 16G Ventus 3X Black OC Graphics Card (NVIDIA RTX 4070 Ti Super, 256-Bit, Extreme Clock: 2655 MHz, 16GB GDRR6X 21Gbps, HDMI/DP, Ada Lovelace Architecture)",839.9,4.5,"96","More Buying Choices$274.50(19+ used & new offers)"
"GIGABYTE GeForce RTX 4060 Gaming OC 8G Graphics Card, 3X WINDFORCE Fans, 8GB 128-bit GDDR6, GV-N4060GAMING OC-8GD Video Card",89.9,4.7,"383","FREE delivery Mon, Jan 6 to Philippines "
"GIGABYTE Radeon RX 7600 XT Gaming OC 16G Graphics Card, 3X WINDFORCE Fans 16GB 128-bit GDDR6, GV-R76XTGAMING OC-16GD Video Card",78.9,4.4,"39","No featured offers available$293.03(8 used & new offers)"
"GIGABYTE GeForce RTX 3050 WINDFORCE OC 6G Graphics Card, 2X WINDFORCE Fans, 6GB GDDR6 96-bit GDDR6, GV-N3050WF2OC-6GD Video Card",84.9,4.3,"15","$10.00 off coupon appliedSave $10.00  with coupon "
"XFX Speedster SWFT 210 Radeon RX 6600 CORE Gaming Graphics Card with 8GB GDDR6 HDMI 3xDP, AMD RDNA 2 RX-66XL8LFDQ",105.9,4,"38","$10.00 off coupon appliedSave $10.00  with coupon "
"ASUS The SFF-Ready Prime GeForce RTX 4070 Super OC Edition 12GB GDDR6X Graphics Card (PCIe® 4.0, 12GB GDDR6X, DLSS 3, HDMI 2.1a, DisplayPort™ 1.4a)",99.9,4.3,"183","5% off coupon appliedSave 5%  with coupon "
"ASUS ROG Strix GeForce RTX™ 4060 OC Edition Gaming Graphics Card (PCIe 4.0, 8GB GDDR6, DLSS 3, HDMI 2.1a, DisplayPort 1.4a, Axial-tech Fan Design, Aura Sync, 0dB Technology)",102.9,4.4,"290","FREE delivery to Philippines"
"ASUS The SFF-Ready Prime GeForce RTX™ 4070 Ti Super OC Edition 16GB GDDR6X Graphics Card (PCIe® 4.0, 16GB GDDR6X, DLSS 3, HDMI 2.1a, DisplayPort™ 1.4a)",314.9,4.5,"172","FREE delivery to Philippines"
"RX 580 8GB Graphics Card, 2048SP,GDDR5,256 Bit Graphics Card for Gaming PC,PCIE 3.0,Twin Freeze Fans Computer Video Card with HDMI/DP/Ports（Style 1）",329.9,4.5,"130","FREE delivery Mon, Jan 6 to Philippines "
"GIGABYTE GeForce RTX 3060 Gaming OC 12G (REV2.0) Graphics Card, 3X WINDFORCE Fans, 12GB 192-bit GDDR6, GV-N3060GAMING OC-12GD Video Card",169.9,4.5,"12,238","More Buying Choices$208.34(7 used & new offers)"
"ASUS ProArt GeForce RTX™ 4060 Ti 16GB OC Edition GDDR6 Graphics Card (PCIe 4.0, 16GB GDDR6, DLSS 3, HDMI 2.1a, DisplayPort 1.4a)",179.9,4.7,"1,904","FREE delivery to Philippines"
"GIGABYTE GV-R76GAMING OC-8GD Radeon RX 7600 Gaming OC 8G Graphics Card, 3X WINDFORCE Fans 8GB 128-bit GDDR6, Video Card",210,4.7,"2,374","FREE delivery to Philippines"
