"ProductTitle","Price","Ratings","Reviews","Description"
"Gaming Monitor 27 Inch FHD 1080P Computer Monitor 180Hz IPS 1ms, FreeSync, Ultra-Thin PC Monitor, VESA Compatible, Tilt Adjustable, Eye Care Technology, HDMI/DP",119.9,4.5,"15","FREE delivery Thu, Jan 2 to Philippines "
"Gaming Monitor 24 Inch FHD 1080P Computer Monitor 165Hz VA 1ms Built-in Speakers, FreeSync, Ultra-Thin PC Monitor, VESA Compatible, Tilt Adjustable, Eye Care Technology, HDMI/DP",125.9,4.5,"292","FREE delivery Mon, Jan 6 to Philippines "
"Sceptre New 27-inch Gaming Monitor 100Hz 1ms DisplayPort HDMI x2 100% sRGB AMD FreeSync Build-in Speakers, Eye Care Frameless Machine Black 2024 (E275W-FW100T)",105.9,4.5,"33,805","FREE delivery Mon, Jan 6 to Philippines "
"PHILIPS 22 inch Class Thin Full HD (1920 x 1080) Monitor, 100Hz Refresh Rate, VESA, HDMI x1, VGA x1, LowBlue Mode, Adaptive Sync, 4 Year Advance Replacement Warranty, 221V8LB",98.1,4.6,"5,261","More Buying Choices$96.99(3+ used & new offers)"
"acer KB272 G0bi 27"" IPS Full HD (1920 x 1080) Zero-Frame Gaming Office Monitor | Adaptive-Sync Support (FreeSync Compatible) | Up to 120Hz Refresh | 1ms (VRB) | sRGB 99% | Tilt | HDMI & VGA Ports",119.9,4.6,"1,459","No featured offers available$57.51(5 used & new offers)"
"Sceptre Curved 24-inch Gaming Monitor 1080p R1500 98% sRGB HDMI x2 VGA Build-in Speakers, VESA Wall Mount Machine Black (C248W-1920RN Series)",89.9,4.5,"12,040","10% off coupon appliedSave 10%  with coupon "
"acer Nitro 24.5"" Full HD 1920 x 1080 Gaming Monitor | AMD FreeSync | 180Hz Refresh | 1ms (VRB) | 99% sRGB | HDR 10 Support | 1 x Display Port 1.2 & 2 x HDMI 2.0 | KG251Q P3biip",149.9,4.4,"471","FREE delivery Mon, Jan 6 to Philippines "
"SAMSUNG 34"" ViewFinity S50GC Series Ultra-WQHD Monitor, 100Hz, 5ms, HDR10, AMD FreeSync, Eye Care, Borderless Design, PIP, PBP, LS34C502GANXZA, 2023, Black",191.1,4.4,"1,585","More Buying Choices$79.17(3+ used & new offers)"
"Samsung 27' T35F Series FHD 1080p Computer Monitor, 75Hz, IPS Panel, HDMI, VGA (D-Sub), AMD FreeSync, Wall Mountable, Game Mode, 3-Sided Border-Less, Eye Care, LF27T350FHNXZA",169.9,4.4,"1,377","Usually ships within 2 to 5 weeks"
"ASUS TUF Gaming 27"" 1080P Monitor - Full HD, 165Hz (Supports 144Hz), 1ms, Extreme Low Motion Blur, FreeSync Premium, Shadow Boost, Eye Care, HDMI, DisplayPort, Tilt Adjustable - VG277Q1A,Black",89.9,4.3,"1,632","Delivery Wed, Jan 8 to Philippines "
"Sceptre 30-inch Curved Gaming Monitor 21:9 2560x1080 Ultra Wide/ Slim HDMI DisplayPort up to 200Hz Build-in Speakers, Metal Black (C305B-200UN1)",178.9,4.6,"23,298","More Buying Choices$174.37(4+ used & new offers)"
"BEWISER Heavy Duty Monitor Arm Ultrawide Monitor Mount for 34-49 inches and New 57 inches Screens,Weight Capacity Up to 44 lbs,Full Motion Height Swivel Adjustable Monitor Arm(White)",289.9,4.5,"2,555","Only 2 left in stock (more on the way)."
"Sceptre 20"" 1600x900 75Hz Ultra Thin LED Monitor 2x HDMI VGA Built-in Speakers, Machine Black Wide Viewing Angle 170° (Horizontal) / 160° (Vertical)",209.9,4.3,"2,849","More Buying Choices$82.32(6+ used & new offers)"
"SAMSUNG 27"" Essential S3 (S36GD) Series FHD 1800R Curved Computer Monitor, 100Hz, Game Mode, Advanced Eye Comfort, HDMI and D-sub Ports, LS27D366GANXZA, 2024",229.9,4.5,"5,389","Delivery Mon, Jan 6 to Philippines "
"acer SB240Y G0bi 23.8"" IPS Full HD Ultra-Slim Edge-to-Edge Gaming Office Monitor | Adaptive-Sync Support (FreeSync Compatible) | Up to 120Hz Refresh | 1ms (VRB) | Tilt | HDMI & VGA Ports | Black",86.8,4.6,"726","More Buying Choices$107.10(3+ used & new offers)"
