"ProductTitle","Price","Ratings","Reviews","Description"
"PCCOOLER C3T500 ARGB PC Case Mid Tower Desktop Computer Gaming Superior Case for ATX/M-ATX/ITX with 6 ARGB Case Fans,Column-Free Design,360MM Radiator&400MM GPU Support,Easy Installation (White)",103.9,4.5,"149","Delivery Mon, Jan 6 to Philippines "
"SAMA NEVIEW 4503 White Airflow Full Tower Case ATX PC Gaming Case Dual Tempered Glass 4X12CM ARGB Fan Pre-Install USB3.0X2 Type C Included 360mm AIO Support at Top",129.9,4.5,"58","Save 3% at checkout"
"CORSAIR 4000D AIRFLOW Tempered Glass Mid-Tower ATX Case - High-Airflow - Cable Management System - Spacious Interior - Two Included 120 mm Fans - Black",114.9,4.5,"18,615","Delivery Mon, Jan 6 to Philippines Or fastest delivery Fri, Jan 3 "
"CORSAIR 3500X ARGB Mid-Tower ATX PC Case – Panoramic Tempered Glass – Reverse Connection Motherboard Compatible – 3X CORSAIR RS120 ARGB Fans Included – White",104.9,4.1,"199","Delivery Thu, Jan 2 to Philippines Or fastest delivery Wed, Jan 1 "
"darkFlash ATX Mid-Tower PC Case, Pre-Install 4 PWM ARGB Fans Computer Case, Full View Dual Tempered Glass Gaming PC Case, Type C Port, Supports up to 360mm Water Cooling Radiator, Black(DS900)",109.9,4.6,"74","More Buying Choices$77.17(3+ used & new offers)"
"NZXT H5 Flow Compact ATX Mid-Tower PC Gaming Case – High Airflow Perforated Tempered Glass Front/Side Panel – Cable Management – 2 x 120mm Fans Included – 280mm Radiator Support – Black",89.3,4.7,"3,150","Delivery Thu, Jan 2 to Philippines Or fastest delivery Wed, Jan 1 "
"Sevenhero EMBL Micro-ATX Gaming Computer Case, mATX PC Case, Chassis with 3X 120mm ARGB Fans, Dual-Chamber Design, Supports 280mm Radiators, 330mm GPU, Panoramic Tempered Glass Panels, Black",99.9,4.6,"761","More Buying Choices$99.06(2+ used & new offers)"
"Corsair 5000D Airflow Tempered Glass Mid-Tower ATX PC Case - Black",65.9,4.3,"721","Delivery Mon, Jan 6 to Philippines Or fastest delivery Fri, Jan 3 "
"Cooler Master MasterBox Q300L Micro-ATX Tower with Magnetic Design Dust Filter, Transparent Acrylic Side Panel, Adjustable I/O & Fully Ventilated Airflow, Black (MCB-Q300L-KANN-S00)",82.9,4.7,"159","More Buying Choices$79.99(2+ used & new offers)"
"Aqua 7, Pre-Installed 6 × 120mm PWM ARGB Fan, ATX Mid Tower PC Case, Computer case with Panoramic View Tempered Glass Front & Side Panel, Type C Port, Gaming PC Case, Black",149.9,4.4,"621","More Buying Choices$69.29(3+ used & new offers)"
"GAMDIAS ATX Mid Tower Gaming Computer PC Case Tempered Glass, Built-in 4X 120mm ARGB Case Fans, Front Airflow Mesh, Up to 6x120mm Fans, 340mm GPU/VGA, 360mm AIO/Radiator, 160mm CPU Cooler",157.8,4.5,"4,280","5% off coupon appliedSave 5%  with coupon "
"RUIX CV103 ATX Mid-Tower PC Case, Pre-Installed 4 x 120mm RGB Fans, RGB Color Lighting, Tempered Glass, USB 3.0, Gaming Computer Case, High-Airflow - White",79.9,4.4,"71","Delivery Mon, Jan 6 to Philippines Or fastest delivery Wed, Jan 1 "
"MSI MAG PANO 100L PZ White - Premium Mid-Tower Gaming PC Case - Tempered Glass Side Panel - Liquid Cooling Support up to 360mm Radiator - White Color Case",69.9,4.5,"5,452","Delivery Mon, Jan 6 to Philippines Or fastest delivery Wed, Jan 1 "
"Bgears b-Optillusion Gaming PC ATX case, Special Optical Illusion ARGB Front Panel, Tempered Glass Side. USB3.0, Support up to EATX Motherboard. Fan Not Included.",94.9,4.8,"12,927","More Buying Choices$126.71(3+ used & new offers)"
"Antec C5 ARGB White, 7 x 120mm ARGB PWM Fans Included, Up to 10 Fans Simultaneously, Type-C 3.2 Gen 2 Port, Seamless Tempered Glass Front & Side Panels, 360mm Radiator Support, Mid-Tower ATX PC Case",68,4.3,"178","Delivery Mon, Jan 6 to Philippines Or fastest delivery Wed, Jan 1 "
"SAMA V Mesh Mid-Tower ATX Case,PC Case Pre-Installed 3X 140mm ARGB PWM Fan,High Airflow Gaming Computer Case with Mesh Panels Front and Tempered Glass Side Panels,Black",99.9,4.7,"16","Delivery Tue, Jan 7 to Philippines "
