"Ranking","TV_Show_Title","Episodes","Release_Year","Rating","No._of_Voter","User_Review","Popularity","Critic_Reviews"
"1"," Breaking Bad","62 eps","2008–2013","9.5"," (2.2M)","5,118 reviews","24","176"
"2"," Planet Earth II","6 eps","2016","9.5"," (163K)","158 reviews","1,082","6"
"3"," Planet Earth","11 eps","2006","9.4"," (225K)","111 reviews","2,066","10"
"4"," Band of Brothers","10 eps","2001","9.4"," (547K)","1,059 reviews","173","34"
"5"," Chernobyl","5 eps","2019","9.3"," (912K)","3,538 reviews","146","88"
"6"," The Wire","60 eps","2002–2008","9.3"," (392K)","787 reviews","112","77"
"7"," Avatar: The Last Airbender","62 eps","2005–2008","9.3"," (392K)","1,001 reviews","327","57"
"8"," Blue Planet II","7 eps","2017","9.3"," (49K)","53 reviews","4,399","9"
"9"," The Sopranos","86 eps","1999–2007","9.2"," (502K)","968 reviews","26","93"
"10"," Cosmos: A Spacetime Odyssey","13 eps","2014","9.2"," (132K)","205 reviews","1,457","12"
"11"," Cosmos","13 eps","1980","9.3"," (46K)","80 reviews","3,902","8"
"12"," Our Planet","12 eps","2019–2023","9.2"," (54K)","245 reviews","2,798","15"
"13"," Game of Thrones","74 eps","2011–2019","9.2"," (2.4M)","5,914 reviews","16","368"
"14"," Bluey","194 eps","2018– ","9.3"," (34K)","369 reviews","368","4"
"15"," The World at War","26 eps","1973–1974","9.2"," (32K)","126 reviews","2,290","5"
"16"," Fullmetal Alchemist Brotherhood","68 eps","2009–2010","9.1"," (210K)","468 reviews","505","16"
"17"," Rick and Morty","78 eps","2013– ","9.1"," (630K)","911 reviews","126","94"
"18"," Life","11 eps","2009","9.1"," (44K)","12 reviews","3,107","9"
"19"," The Last Dance","10 eps","2020","9.0"," (161K)","542 reviews","1,593","28"
"20"," The Twilight Zone","156 eps","1959–1964","9.0"," (98K)","214 reviews","366","85"
"21"," The Vietnam War","10 eps","2017","9.1"," (30K)","175 reviews","1,841","13"
"22"," Sherlock","15 eps","2010–2017","9.1"," (1M)","1,099 reviews","172","121"
"23"," Attack on Titan","98 eps","2013–2023","9.1"," (568K)","2,377 reviews","52","65"
"24"," Batman: The Animated Series","85 eps","1992–1995","9.0"," (123K)","219 reviews","518","25"
"25"," Arcane","18 eps","2021–2024","9.1"," (346K)","2,289 reviews","2","59"
