"","Product_Name","Reviewer_Names","Review_Date","Individual_Ratings","Review_Title","Text_Reviews"
"1","maxsun AMD Radeon RX","","October 28, 2024",4.3,"Works Great!","My old 1GB graphic card could just not keep up to the demands of making large image files for posters. It was causing frustrating delays, waiting for a refresh after every edit. At first I mistakenly bought an 8GB card I thought I could use to replace it, but it required a power connection I did not have. So I would have had to buy a completely new power supply. Yikes! Luckily my friendly neighborhood PC repair shop advised me to try this 4MB one, which didn't require a power supply connection. And it works great with little to no lag time after making edits to large graphic files. Recommended."
"2","maxsun AMD Radeon RX","Amazon Customer","October 13, 2024",4.3,"Worked dandy","Had my card go gimpy on me when the hurricane hit, it didn't detect my dvi monitor, slipped this in and I'm back to three monitors and happy.  I'm not a gamer and don't do graphics editing but for watching movies and browsing the web it works fine.  I mostly have terminals open, but they're darn good looking terminals."
"3","maxsun AMD Radeon RX","Michael Mckenney","April 1, 2024",4.4,"Works, but I ran into some driver issues","Needed a card to drive two monitors and this works good. Card is quiet.This isn’t the fault of the card itself, but I ran into a weird issue where Windows decided the driver in Windows Update was newer than the current AMD driver. The driver in Windows Update caused the card to not work correctly and throw errors on my system. Forcing Windows to stop overwriting the latest AMD driver however made things work correctly."
"4","maxsun AMD Radeon RX","ZX6R","September 28, 2024",4.2,"Works well in a office desktop envionment.","Used to replace flaky system video. Worked perfectly out of the box. Not used for gaming, however."
"5","maxsun AMD Radeon RX","SMH","August 30, 2024",4.2,"Good Card","Handles 3 monitors with no issues. Reasonable price."
"6","maxsun AMD Radeon RX","Lee stecher","November 17, 2022",4,"Doesn't work with some HP computers","I bought this card as an upgrade to a system currently running 3 monitors, intending to replace the HP AMD Radeon card that came with the computer with a faster one.  With the new card installed, the computer halted before windows boot with a condition of no video card detected, so (of course) no signal to the attached monitors.  After verifying that the card was properly seated and connected, and fan active, at least three possibilities remained: 1) the card was defective, 2) the card and BIOS are incompatible, or 3) that particular computer had a defective slot.  Possibility 3) was investigated by substituting the card into a second computer of the same model and configuration, again with no video card detected.Consequently, I reluctantly returned the card.  If the card was defective, I didn't want to keep it.  If the BIOS was incompatible with the card, this would require finding, then applying a BIOS upgrade, which might or might not resolve the problem.  If a BIOS upgrade fails, one possibility is that the mainboard is 'bricked', rendering that computer useless.  Neither of these outcomes was acceptable to me, so I returned the card.  Thanks Amazon.  Your easy return policy is one of the reasons you get my business.In most situations, a video card is detected during BIOS boot and operates with default low resolution until the OS boots, at which time appropriate drivers can be loaded.  I still cannot say whether this card is compatible with an HP H8-1240T, only that the card I received was certainly NOT.  I asked this question in the customer reviews section, but received no definitive answer, only novice level guidance.  Considering that new electronics are highly likely to arrive in working condition, the most likely explanation is that the card and that computer model are incompatible."
"7","maxsun AMD Radeon RX","Electronic Engineer","November 20, 2024",3.6,"Price was good","Fast delivery and product working good"
"8","maxsun AMD Radeon RX","Damiane LaCosta","December 7, 2023",4.4,"It over heats","It doesn't have a good heat sink on it so it over heats I had to put 2 big fans on it to keep it cool so it had a total of 3 fans on it so it wouldn't crash and that's on high resolution the ultra resolution it crashed right away that's how bad it overheats but besides that graphics are excellent."
"9","maxsun AMD Radeon RX","Traci Crews","August 30, 2022",4.2,NA,"If you have an older machine and if you are looking for a graphics card for ordinary use and maybe some light gaming, this is a great choice. It is listed as one of the top eight cards that does not require an extra power connection, as some older machines do not provide that option. I got this card on a big sale, it arrived the next day after order, clearly new, well packaged, nice and clean and solid, no issues. Easy to install, works great with Windows 10. I used an HDMI connection to a 4K monitor (resolution 3840x2140) which worked great. I did some light gaming, no issues. Card is not noisy. The card also has good connectivity options, HDMI, DisplayPort and DVI. So as long as you are not a super serious gamer, this is a great card. Mind you, if you shop around, you can find cards like the GTX1650, 1050Ti or RX 6400 which also do not require extra power and are much more powerful graphics cards. If the prices are comparable, it would make sense to get one of those instead, BUT if you can get the RX 550 on a good sale for much less than those other alternatives, and it meets your needs, it works great!  This card is best described as ""a solid budget pick"". Worth getting if you can get it for a great price, for much less than other higher performers. If you are a serious 3D gamer, then this is not for you, although you can play lots of games fine on it."
"10","maxsun AMD Radeon RX","Ben P","October 19, 2024",4.4,NA,"J’ai récemment acquis un PC DELL optiplex 3060 et j’avais aussi deux écrans de PC, et donc j’ai décidé de mettre une carte graphique pour éviter les bugs lorsque je jouais à des jeux de PC ou à de la bureautique. Idem pour de la virtualisation de PC, ça semble bien fonctionner avec Windows, 11 pro"
"11","maxsun AMD Radeon RX","AlanTech67","April 22, 2024",5,NA,"Cumple su función, va bien."
"12","maxsun AMD Radeon RX","Argastands S.L.","January 12, 2024",5,NA,"Produkttest: Maxsun Grafikkarten AMD Radeon RX 550 4GB Graphics Card ITX Computer PCStärken:Kompaktes ITX-Design: Die Grafikkarte ist für ITX-Systeme optimiert, was sie ideal für kleinere Computer macht, ohne Kompromisse bei der Leistung einzugehen.4GB Grafikspeicher: Mit 4GB GDDR5-Grafikspeicher bietet die Karte ausreichend Kapazität für Gaming und Multimedia-Aufgaben in mittlerer bis hoher Qualität.Energieeffizienz: Die Radeon RX 550 ist bekannt für ihre Energieeffizienz, was zu einem sparsamen Stromverbrauch führt. Das ist besonders vorteilhaft für Systeme mit begrenzter Stromversorgung.DirectX 12 und Vulkan-Unterstützung: Die Karte unterstützt moderne Grafiktechnologien wie DirectX 12 und Vulkan, was eine verbesserte Grafikdarstellung und Leistung in unterstützten Spielen ermöglicht.Vielseitige Anwendbarkeit: Die RX 550 eignet sich gut für 1080p-Gaming und Multimedia-Aufgaben. Sie ist ideal für Benutzer, die einen erschwinglichen Einstieg in die Welt der dedizierten Grafikkarten suchen.Schwächen:Leistung im Vergleich zu neueren Modellen: Die RX 550 kann in Bezug auf Leistung mit neueren Grafikkartenmodellen nicht mithalten. Für anspruchsvollere Spiele und Anwendungen könnte sie an ihre Grenzen stoßen.Begrenzte VR-Performance: Aufgrund ihrer bescheidenen Leistung ist die RX 550 möglicherweise nicht die beste Wahl für Virtual-Reality-Anwendungen, die höhere Anforderungen an die Grafikleistung stellen.Lautstärke: In einigen Fällen könnte die Lüftergeräuschentwicklung als etwas laut empfunden werden, insbesondere unter Last. Dies könnte in ruhigeren Umgebungen störend sein.Mangelnde zukünftige Proofing: Da die RX 550 eine ältere Grafikkarte ist, könnte sie in Zukunft möglicherweise nicht mehr mit den neuesten Spielen oder Anwendungen mithalten. Dies könnte zu einem schnelleren veralteten Zustand führen.Begrenzte Anschlussmöglichkeiten: Mit begrenzten Anschlussmöglichkeiten (typischerweise HDMI, DVI und DisplayPort) könnte die Karte für Nutzer mit speziellen Anforderungen an die Anschlussvielfalt eingeschränkt sein.Fazit:Die Maxsun Grafikkarten AMD Radeon RX 550 bietet eine gute Leistung für den Einstieg in das Gaming und Multimedia-Erlebnis. Ihr kompaktes ITX-Design ist ideal für kleinere Systeme, aber sie hat einige Einschränkungen in Bezug auf Leistung und zukünftige Anwendbarkeit. Berücksichtigen Sie Ihre individuellen Bedürfnisse und Budgetanforderungen, um zu entscheiden, ob diese Grafikkarte Ihren Anforderungen entspricht."
"13","maxsun AMD Radeon RX","Carpediem","May 26, 2023",4.3,NA,"Comprata per gestire un monitor 4k (3440x1440) 21:10 a 165hz si comporta egregiamente, provato a giocare a rainbow SIX siege e forza Horizon 5 si comporta abbastanza bene con risoluzione 2560*1080 e settaggi al minimo per il prezzo non si può chiedere di meglio"
"14","maxsun AMD Radeon RX","Beatrice Messano",NA,4.4,NA,NA
"15","maxsun AMD Radeon RX",NA,NA,4.2,NA,NA
"16","maxsun AMD Radeon RX",NA,NA,4.4,NA,NA
"17","maxsun AMD Radeon RX",NA,NA,4.2,NA,NA
"18","maxsun AMD Radeon RX",NA,NA,4.5,NA,NA
"19","maxsun AMD Radeon RX",NA,NA,4.3,NA,NA
"20","maxsun AMD Radeon RX",NA,NA,4.3,NA,NA
"21","KAER RX580 8GB Graphics","","January 31, 2024",4.3,"IT WORKS WELL for big open world games!","After having a 1650 for a couple of years, I really wanted something a little more powerful to be able to properly run, stream and play big open world games that have a lot of resources in them. Well, I can say after testing out Ark Survival, Palworld, Minecraft and others with the 2060, it does the job! The graphics don’t lie here. I was able to play games smoothly on the highest graphic settings. I got no lags nor frame drops.Now, here’s the thing. I was a little worried at first that I wouldn’t be able play with this card, because of the 8 pin connector that is needed to be installed into it. However, you don’t exactly need the 8 pin. You actually can just use a 6 pin and then easily squeeze a 2 pin making it 8. It’ll still work that way. Your power supply should definitely have both the 6 pin and 2 pin. If not, then you would have to buy an 8 pin connector or simply buy a new power supply. Plus, this card isn’t that expensive or at least it’s not in my budget, but if you’re considering on wanting to move up from the 1000s, get into streaming or playing in much better quality, then the 2060 I highly recommend. Of course we will have different PCs. Therefore, it really depends on what kind of graphics card your PC can take or not."
"22","KAER RX580 8GB Graphics","Amazon Customer","July 2, 2024",4.3,"very pleased with purchase","definitely a steal when it comes to quality and value. so easy to install no issues whatsoever, very quiet with a good amount of ram. the graphics on my computer run great and my gpu cooling stays right where it should be now. I love the white in color as it sticks out and makes my computer tower look cleaner and well put together. I have a gaming comp and can now run my main game while also surfing the web or opening other games with absolutely no problems.  definitely will purchase from this seller again"
"23","KAER RX580 8GB Graphics","Jax Price","October 18, 2023",4.3,"Very Pleased with this purchase","I've been using the RX 580 8GB graphics card for a while now, and I couldn't be happier with it. This card is an absolute powerhouse. What's even more impressive is the affordability. I was pleasantly surprised by the value for the price. It's a budget-friendly choice that doesn't compromise on performance.Reliability is a big deal for me. It runs smoothly during long sessions, and I've not had any overheating issues or crashes. The cooling system keeps the card at a comfortable temperature, and it's surprisingly quiet.This card's versatility is another highlight. It's not just for gaming; it handles content creation tasks like video editing and 3D rendering like a pro.In a nutshell, the RX 580 8GB graphics card is an absolute joy. It's affordable, powerful, reliable, and versatile. As a happy user, I highly recommend it to anyone looking for an exceptional productivity experience without breaking the bank."
"24","KAER RX580 8GB Graphics","krystal","July 2, 2024",4,"Works great!","Installation was easy, my 1st time doing any work like this on a computer. Youtube is full of instructional videos.It has enabled me to use 3d programming software that my computer wouldn't run before. I'm not a gamer, so this was probably overkill for my needs. The price was good, so I figured why not get a good one."
"25","KAER RX580 8GB Graphics","Joel P Peters","October 18, 2024",4.2,"DO NOT BUY! SCAM ALERT","I paid $210 for an RTX 2060 from Kaer. When I received it I opened the box and what do I find??? A USED and DUSTY GTX 1660 Super. Single fan, obviously someone’s used and abused outdated graphics card."
"26","KAER RX580 8GB Graphics","I","March 29, 2024",4.4,"good graphics card","works great in good shape but packaging could have been better box was not sealed no instructions they usually come with something"
"27","KAER RX580 8GB Graphics","Alex Williamd","February 1, 2024",4,"#idgafgamepc  Great GPU, Plays BF1,BF5,FS22 W/ I7-2600 & 35$mboard.","The media could not be loaded.
                
            
                
            
            
        
    
    
i grabbed this after my DELL 990 SFF w/ a r260 card was USELESS too try and play BFV, OR BF1.. tHIS GOT ME UP AND PALYING, I let this hang outside the case, grabbed a PCI extension cable, 500W atx PSU, (LEFT IT OUT OOF THE CASE) and a used intel i7-2600k or w.e.. all in i think for 168$ I got a older Dell too now play games I played on PS3... AND  i can surf web etc..I just got into building PCs... And i figured outquick that trying too build a SFF gaming rig CAN BE DONE.. But for now, im just using a full size case, after i built the dell.. I used this GPU, THE 35$ MBOARD, 13$ rgb fan, 35$ PSU, ram from the 16gb DELL, and HDD & SDD...Threw in a fullsize case i found in junk pile (AFTER I CLEANED IT UP)  grabbed a 13$ amazon special LGA115# AIR COOLER (THE WHITE ONE THAT STICKS OUT THE SIDE, 6X COOLER PIPES? IDFK.. And another cpl cheap fans, IDK, it saty down in the 90'* so guess they work also...Used  a old car alarm LED & MINI DPDT ON-OFF-ON toggle for the power on, and POWER/HDD lights..And hey, IT WORKS!.. the #idgafgamepc AINT PRETTY.  But man its alot faster, easier too work on then a SFF dell..I can play BF1-BFV with like hardly any interruptions. My brother says its plays as good as his $ALIENWARE used gaming laptop.. idk.. lolBut really happy with this GPU.. I AM NO PC GURU.. did not try overclock it.. BUT i didn't have too.. I just tuned the fan too come on sooner, adjusted the power use (it works fine with AMD ADRENALINE software)  and at pretty much stock settings with all the other cheap AMAZON COMPONENTS, except for CPU AND RAM) BUT.... I can play BFV pretty well.. think i had it set on 1280../720, and all graphics at low, filters off etc.. On medium/auto? it still works decent too.. But its best at low settings, Im perfectly happy way it plays and looks on low settings.. oh yea, It brought my PC BENCHMARK SCORE UP FROM A ""LOG (R270) -UP TOO A SAILBOAT""....  and for now, im gonna run it, while i search for my next plans and pc parts too build..the MB i used..https://www.amazon.com/dp/B0BBMFSWY9?psc=1&ref=ppx_yo2ov_dt_b_product_detailsI noticed it this GPU Def likes a better PSU, and CPU, And a open case too keep it cool.. that goes without saying for PC.s  again, im a newb.. but not too building hardware and stuff..  And this thing has been running, nonstop for like 2 months now.. No problems.. I just made sure too add a case fan in back, too get heat in-out, then i added another, smaller 40mm? fan out of a dell on the front of my case also..The fan on the GPU is a little loud, when gaming, But honestly i dot mind louder fans on a PC.. and thats why i got goo soundbar.. Usually keep desktop away from screen anyway..IMHO.. Dont wast you time with othe GPU's, especially thos BS little 50-70$ ones.. Just grab something like this.. Its not the best.. But its awesome if your at a 100$ budget for a GPU..  and if you just wanta hookup, and start gaming, It will.. Im happy."
"28","KAER RX580 8GB Graphics","Donald Gardner",NA,4.2,NA,NA
"29","KAER RX580 8GB Graphics","juddyherdman",NA,4.3,NA,NA
"30","KAER RX580 8GB Graphics",NA,NA,5,NA,NA
"31","KAER RX580 8GB Graphics",NA,NA,5,NA,NA
"32","KAER RX580 8GB Graphics",NA,NA,5,NA,NA
"33","KAER RX580 8GB Graphics",NA,NA,5,NA,NA
"34","KAER RX580 8GB Graphics",NA,NA,5,NA,NA
"35","KAER RX580 8GB Graphics",NA,NA,5,NA,NA
"36","KAER RX580 8GB Graphics",NA,NA,5,NA,NA
"37","KAER RX580 8GB Graphics",NA,NA,1,NA,NA
"38","KAER RX580 8GB Graphics",NA,NA,1,NA,NA
"39","KAER RX580 8GB Graphics",NA,NA,4,NA,NA
"40","KAER RX580 8GB Graphics",NA,NA,5,NA,NA
"41","MSI Gaming GeForce RTX","","December 9, 2024",4.7,"Solid card for the price","Running this thing with a 5600x, runs great. Plays RDR2 phenomenally and can play any modern game well. Too bad it’s mostly been put to use on Minecraft haha"
"42","MSI Gaming GeForce RTX","Amazon Customer","November 15, 2024",4.7,"Amazing!!!","The GeForce RTX 3060 is a fantastic choice if you're looking for strong 1080p and decent 1440p gaming performance without breaking the bank. I can play modern games at high settings with smooth frame rates, and it also handles creative tasks like video editing and 3D rendering quite well. The card runs quietly, and the power efficiency is impressive – I haven't experienced any overheating issues. While it's not the top-of-the-line for 4K gaming, it's a solid mid-range card with great value for gaming and multitasking. Highly recommended!"
"43","MSI Gaming GeForce RTX","David Hackbarth","October 23, 2024",4.7,"Great upgrade","Was a snug fit into my Dell Optiplex 7070 but it does fit. I'm very happy with the speed and clarity of the monitor picture. I can run MS Flight Sim at full speed and 4K. So many more games run at full throttle now. Not sure how it will do on your machine, but this works great on mine. The fans take a while to kick on which means the card isn't running hot. My CPU fan does seem to kick on sooner, though it doesn't get too hot. The OEM box isn't known to be a vent powerhouse, so it's not the cards fault. I did order another more powerful box fan, so we'll see how that goes when I get it."
"44","MSI Gaming GeForce RTX","C Tucker 0321","September 7, 2024",4.7,"Expectations Met","I ordered this product to run Stable Diffusion and continue the games I enjoy at the same quality as my AMD 6600. So far the 3060 has met my expectations. It was delivered quickly, was a fast swap in with my desktop and has worked without incident since. NVIDIA software runs well and the installation is pretty simple. All in all, a good introductory card for AI art programs while having respectable ability for gaming and graphics. Worth its price point of ~300 with tax and fees.Still, it is always advisable to make sure a card meets the requirements of what you want before you order."
"45","MSI Gaming GeForce RTX","!!!!! C5 !!!!!","August 21, 2024",4.7,"Amazing just great","No issues. Arrived so quickly. Installation was a breeze. I have no issues running any current games. There are some exceptions but for the most part this thing can handle just about any current game. No issues with overheating. I did buy this on sale but even for retail it’s a great pick for a GPU. You will have to upgrade eventually but it is worth the money and will last you a few years."
"46","MSI Gaming GeForce RTX","Luke K","December 2, 2024",4.7,"Works great for price.","It’s pretty good for the price. It works great in most modern games, and gets 100+ fps on high settings in somewhat demanding games. It stays cool in my case, and was very easy to install. The two fans, make it easier to fit in almost all ATX cases. The only caveat being, that for only a few dollars more, you can get the 4060, which is slightly better."
"47","MSI Gaming GeForce RTX","William P.","December 7, 2024",4.7,"Great Low-Mid Budget GPU","This card is great for 1080p gaming on high settings. Upgrading from my old 1650 felt extremely nice. Just make sure to install up-to-date drivers."
"48","MSI Gaming GeForce RTX","Cam H ","November 11, 2024",4.7,"Great Deal","No problems and a great deal for a 12 GB, I'm sure I'll upgrade eventually but this does everything I ask it too."
"49","MSI Gaming GeForce RTX","Angel Lee","November 29, 2024",4.7,NA,"Trabaja adecuadamente y evita el calentamiento de la compu de mi hijo, me encantó lo recomiendo ampliamente."
"50","MSI Gaming GeForce RTX","Jason Webb","November 20, 2024",5,NA,"Qualidade da placa perfeita, consegue rodar tudo no ultra e se quiser ainda roda ray tracing em alguns jogos"
"51","MSI Gaming GeForce RTX","José gpe ocaña perez","February 28, 2024",4,NA,"We purchased a few of those for our lab to be used as GPGPU (mainly for deep learning).  We installed them in out HP Z4 workstations and they all work as advertised.  I am unable to assess how they perform for gaming or other graphical applications except to say that between computations they also drive our 2K monitors just fine.Just the above makes us satisfied customers, but to our pleasant surprise the card also accommodates our unusual power supplies.  About every PSU manufacturer and their mothers provide additional PCIe power using 8-pin connectors.  HP workstations however are different, for their PSUs provide 150+W of power through a 6-pin PCIe connector (which is normally rated at only 75W). The mentioned pleasant surprise is that this GPU happily accepts our 6-pin connectors and still works at full power, as opposed to other GPUs we tried which refuse to power on without an adapter cable.Overall these are great, inexpensive GPGPU devices which we can recommend."
"52","MSI Gaming GeForce RTX","Caio Gabriel Gomes da Silva","November 14, 2024",5,NA,"Perfect to upgrade my system and easy to install"
"53","MSI Gaming GeForce RTX","Que","October 16, 2024",5,NA,"Schnelle Lieferung früher geliefert als versprochen. Super"
"54","MSI Gaming GeForce RTX","Kevin Henderson",NA,5,NA,NA
"55","MSI Gaming GeForce RTX","Gerold Paul",NA,5,NA,NA
"56","MSI Gaming GeForce RTX",NA,NA,5,NA,NA
"57","MSI Gaming GeForce RTX",NA,NA,4,NA,NA
"58","MSI Gaming GeForce RTX",NA,NA,4,NA,NA
"59","MSI Gaming GeForce RTX",NA,NA,5,NA,NA
"60","MSI Gaming GeForce RTX",NA,NA,5,NA,NA
"61","GIGABYTE Radeon RX 7600","","November 14, 2024",4.5,"Works good","I bought this used as a gift, and in the short amount of testing I thought it was rather good card for what I spent. Plus, it looked brand new."
"62","GIGABYTE Radeon RX 7600","Amazon Customer","November 18, 2024",4.7,"Great Quality for the price.","Works great!"
"63","GIGABYTE Radeon RX 7600","Hiro","August 31, 2024",4.6,"Great high mid range graphics card","Paired with a r5 7600x this card is the bottleneck, but for the price it’s awesome. I have yet to find a game it struggles with. Time spy score with this combo is 12118. Down sides, fans can get loud under heavy load. Upside is battlefield 5 at 1440 ultra setting is consistently over 100 fps and looks awesome"
"64","GIGABYTE Radeon RX 7600","Ramon Hernandez Perez","October 29, 2024",4.7,"Awesome","This is and awesome graphic card. Works great. Upgraded from Nvidia 1080 TI to this one. And very very pleased I made the switch to Radeon."
"65","GIGABYTE Radeon RX 7600","steven","September 30, 2024",4.6,"Faulty card but when it worked it was amazing","Under load it crashed and powered down my pc. When I tried starting it up again, it would power on (lights and fan working) but wouldn’t detect my display. I got about 10 minutes of gaming in when it crashed.A couple of times I unplugged it, plugged it back in And it would detect my display until I got back into the game and it would crash again and refuse to find a display.Not sure what the issue is, but when not under load it did amazing. Had to swap it back out with my rx 580 unfortunately.Sometimes you just draw the short stick and get a faulty product which is why I still give it 4 stars. If you get one that works it is an amazing card for the price."
"66","GIGABYTE Radeon RX 7600","Robert King","October 28, 2024",4.6,"Works great","It works well,  speedy performance"
"67","GIGABYTE Radeon RX 7600","Carter Jones","December 9, 2024",4.6,"Great Card!","The card runs great and looks very good in the case. Definitely a good upgrade."
"68","GIGABYTE Radeon RX 7600","Stephen Brooks","November 10, 2024",4.5,"Stopped working","Changed gpu to this model since the specs on my old card were not the best for newer games. Installed with no issues. Few weeks later got a blue screen, then black. Restarted system, checked for driver updates (it was up to date) reinstalled drivers ect ect. Tried multiple titles including low requirement indie titles. Now when i turn my pc on theres nothing on the screen. If i cannot resolve through regular troubleshooting means im chalking it up to a faulty graphics card and returning it"
"69","GIGABYTE Radeon RX 7600","S Desjardins","September 25, 2024",4.6,NA,"Je suis sur Ryzen 7 5700X3D et je viens de passer d'une RX 6600 8gb à cette RX 7600 XT 16gb et wowww je ne m'attendais pas à une telle différence de performance et de qualité graphique! Pour moi c'est un upgrade majeur, le 16gb vas donner une longévité certaine à cette carte versus les jeux à venir.La carte est très bien construite, solide....... mais aussi assez massive! Donc important de vérifier qu'elle conviens à votre config. L'éclairage du logo GIGABYTE, dont on peux changer la couleur, est vraiment plaisant et on vois cela surtout dans des cartes plus chers! Oui il y a toujours mieux, toujours plus chers.... mais pour moi elle comble tout mes besoins présent et futurs. Du beau,bon, et surtout pas cher en 2024 c'est rare. C'est là que cette Gigabyte viens combler le vide, qualité versus le prix avec une très bonne carte offerte à prix raisonnable! On en veux tous pour notre argent, et c'est ce que vous obtiendrez avec cette Gigabyte RX 7600 XT."
"70","GIGABYTE Radeon RX 7600","Zadigue Karine","October 27, 2024",4.7,NA,"Top"
"71","GIGABYTE Radeon RX 7600","Tony Paterson","July 29, 2024",4.8,NA,"Nothing to dislike as the card performs better than expected some lagging if I run the card on max settings."
"72","GIGABYTE Radeon RX 7600","Alvaro flores","November 22, 2024",4.5,NA,"I love This graphics"
