"","Product_Name","Reviewer_Names","Review_Date","Individual_Ratings","Review_Title","Text_Reviews"
"1","Amazon Basics 24 Inch","","October 12, 2024",4.3,"Great budget monitor","Straight out the box with no calibration it has amazing colors and great contrast with some decent built in speakers although most will probably play with headphones anyways. Also at its prime day special of $36 it is unbelievable to think how good it is for the price"
"2","Amazon Basics 24 Inch","Amazon Customer","November 17, 2024",4.6,"Fantastic simple monitor","Great price, light weight, easy to use and install, I  have it running off my laptop and it's perfect for my needs."
"3","Amazon Basics 24 Inch","Rodrigo Gonzalez","November 19, 2024",4.3,"Great budget monitors, works like a charm","Great budget monitors, works like a charm. If you are wfh like me, this is it. Nothing fancy but gets the job done."
"4","Amazon Basics 24 Inch","FunWithAmazon","October 17, 2024",4.3,"Good Monitor for The Price","It's a good monitor for the price. Mine came with a small scratch that is barely noticeable but other than that it works perfectly fine. A key feature that makes this even more valuable is the internal speakers that my other monitor does not have. If you want a simple monitor then this will get the job done."
"5","Amazon Basics 24 Inch","ssjiahuiss","November 2, 2024",4.5,"Works great!","Needed a new monitor for my digital microscope for soldering purposes. This was a steal on prime day and glad I got it!Looks and works great!"
"6","Amazon Basics 24 Inch","David Rivas","October 29, 2024",4.4,"Speakers some have dont  check if you need.","Desk top monitor nice vidio an audio"
"7","Amazon Basics 24 Inch","CoolRunninJA","October 11, 2024",4.6,"Inaccurate hz","Over all the monitor works but the monitor I got had a rattling piece in it and it only goes up to 120 hz when i bought the 165 hz monitor."
"8","Amazon Basics 24 Inch","Jun","October 23, 2024",4.6,"Decent quality for office use","The monitor is great for the price, but I wouldn't use it as a gaming monitor because of the 4ms response time. The colors all look great though and would work as an office monitor for regular use or watching videos. It doesn't get too bright but it's expected from a monitor of this price. Overall a decent monitor."
"9","Amazon Basics 24 Inch","Davi","October 15, 2024",4.3,NA,"The picture on my panel is very grainy. Updated display drivers, and tried both display port and HDMI ports. Tried the various display settings on the panel. So either poor picture quality or my panel is defective. I have initiated a return."
"10","Amazon Basics 24 Inch","Marcus","October 5, 2024",4.3,NA,"very simple, nice and easy montior. open up, easy to carry. click it in and you are ready to use it. no fear or damaging because the price is so good even at its original price. and its 100 hz. with 27 inch monitor its not necessary to use 4k in it. so i would say 1080p is the right resolution. cheers amazon! keep making them"
"11","Amazon Basics 24 Inch","Your public name",NA,5,NA,NA
"12","Amazon Basics 24 Inch",NA,NA,5,NA,NA
"13","Amazon Basics 24 Inch",NA,NA,5,NA,NA
"14","Amazon Basics 24 Inch",NA,NA,5,NA,NA
"15","Amazon Basics 24 Inch",NA,NA,5,NA,NA
"16","Amazon Basics 24 Inch",NA,NA,5,NA,NA
"17","Amazon Basics 24 Inch",NA,NA,4,NA,NA
"18","Amazon Basics 24 Inch",NA,NA,5,NA,NA
"19","Amazon Basics 24 Inch",NA,NA,5,NA,NA
"20","Amazon Basics 24 Inch",NA,NA,5,NA,NA
"21","Gaming Monitor 27 Inch","","August 13, 2024",4.5,"Image Quality","The image quality is excellent with deep blacks and i love the refresh rate."
"22","Gaming Monitor 27 Inch","Amazon Customer","February 29, 2024",4.5,"Great for price.","This monitor is awesome! I bought it for the kids to play their computer games and they love it. The quality is good and worth the buy. Shipping was fast and came in good condition."
"23","Gaming Monitor 27 Inch","JBourdon","March 10, 2024",4.5,"good :)","its a very good monitor"
"24","Gaming Monitor 27 Inch","Ismael Cortez","April 3, 2024",4.5,"Surprised","This thing is surprisingly nice. I've been using it as a gaming monitor on a laptop with an RTX 4060 and this thing keeps up exceptionally well. The overall image quality is a bit lackluster, but there is hardly any ghosting or color bleed. The brightness is pretty intense and the refresh rate seems accurate. It's not quite as smooth feeling as a monitor 5x the price, but it does perform admirably for the price range it's in. If you need a starter/basic gaming monitor and aren't overly concerned with the super fine details (i.e. you play a lot of high-motion games), this will do a fantastic job.Amazing starter gaming monitor. Definitely worth the money. Just don't expect great performance if you use it for productivity."
"25","Gaming Monitor 27 Inch","Poison","November 29, 2023",4.5,"No audio support","This monitor looked good right out of the box when connected to my computer.  I really didn't need to adjust any of the settings (brightness, contrast, etc.) However, I did try some of the settings just to see what effect they would have.  I found that the ECO setting had the biggest effect.  The PC looked great on Standard but streaming video looked better on the Movie setting.  These settings usually come down to what looks best to the user but there are enough settings available for most users to find what looks best to them. FreeSync is available for gamers, which I am not, so I didn't test it.The monitor has a fairly wide viewing angle.  I was able to view from 45 degrees off center and still see a decent image.  It supports both HDMI and Display Port inputs. The website description says it supports high quality audio and the Onscreen menu does show settings for audio volume and muting but I was unable to get any sound from it.  There's no mention of audio or speakers in any of the provided documentation and, frankly, I wasn't expecting it to have audio when I ordered it.  I suspect the same Onscreen Menu is used for other models which do have audio support."
"26","Gaming Monitor 27 Inch","Nong","January 29, 2024",4.3,"A Solid 1080P Gaming Monitor","The INFIEVO 27 Inch 1080P Gaming Monitor, is a good, all-around piece of tech that I use every day. In fact, I'm using it now as part of a multi-monitor setup, and am really loving the 180Hz refresh rate, and the speedy 1ms response time.Both are important when it comes to competitive gaming and getting the bead on the bad guy. I have it connected via HDMI, but there are also other connection options included with the unit. This is a solid workhorse of a monitor, and one that I would recommend to fit your 1080P gaming (and office) needs."
"27","Gaming Monitor 27 Inch","Gabe P.","December 7, 2023",3.9,"Excellent monitor for gaming or daily use!","I got this monitor to replace a smaller Dell monitor I had been using the past few years. This monitor is very nice. The picture is nice and clear. The size is excellent! I got the 27"". I don't really game much so mainly got it for general work I do on the computer. I did test a few games on it though, and the clarity, smoothness and design were all way better than anything I had used before.Setup was super simple and I was using it within 15  minutes of unboxing. The price point for this monitor is super. I would  recommend this!"
"28","Gaming Monitor 27 Inch","EverNoticeThat","November 30, 2023",4.5,"Short power cord","The monitor is nice and easy to set up. My only complaint is the length of the power cord. It is only 40” long so your workstation needs to be close to an outlet or you need a power strip. It is thin and light weight"
"29","Gaming Monitor 27 Inch","Aimcat","January 10, 2024",4.5,NA,"L'écran est super en terme de qualité, mais c'est surtout au niveau des accessoires qu'il y a des légers defauts.Pour le fixer sur un support Vesa, la cavité à l'arrière de l'écran où l'on vis la plaquette qui se rattache au support est trop petite et ne ""fit"" pas avec les vis fournies lorsqu'on achete un support vesa.Le cable d'alimentation est court, donc si vous avez un bureau ajustable, il faudra le changer pour un plus long ou une rallonge! Sur un bureau non ajustable la longueur est assez longue si la prise électrique n'est pas trop loin."
"30","Gaming Monitor 27 Inch","Ashley Burke",NA,5,NA,NA
"31","Gaming Monitor 27 Inch","Cyril",NA,5,NA,NA
"32","Gaming Monitor 27 Inch",NA,NA,5,NA,NA
"33","Gaming Monitor 27 Inch",NA,NA,5,NA,NA
"34","Gaming Monitor 27 Inch",NA,NA,5,NA,NA
"35","Gaming Monitor 27 Inch",NA,NA,5,NA,NA
"36","Gaming Monitor 27 Inch",NA,NA,5,NA,NA
"37","Gaming Monitor 27 Inch",NA,NA,5,NA,NA
"38","Gaming Monitor 27 Inch",NA,NA,5,NA,NA
"39","Gaming Monitor 27 Inch",NA,NA,5,NA,NA
"40","Gaming Monitor 27 Inch",NA,NA,5,NA,NA
"41","Sceptre New 27-inch Gaming","","December 1, 2024",4.5,"Beautiful display","I have two of these set up in a dual monitor display very very please with them, well packaged, arrived on time ease set up, no problems, purchased as part of black Friday deal...got a GREAT price on both!!!"
"42","Sceptre New 27-inch Gaming","Amazon Customer","October 28, 2024",4.6,"It’s a monitor - nothing exceptional, but nothing wrong either","This product came super fast with Amazon Prime. One-day delivery.This monitor hooks up with my MacBook Air with a USB C Dongle. The picture isn’t that crisp but it is good enough. It functions great for Netflix, Amazon Video or other streaming services.It’s great for gaming. I have this monitor hooked up to my PS4 and the picture quality is amazing. I play Red Dead Redemption 2 and I frequently stop to admire the details in the water and snow. I’m not sure if this is due to the quality of the monitor or the game.It’s relatively easy to set up once you get it out of the box. It comes with a power cord and HDMI inside the box. There are 2 HDMI ports on the back so you could hook up a computer and another device.What I like about this monitor is that I don’t have to switch inputs from PS4 to my MacBook. When I disconnect my MacBook, the monitor detects the PS4 connection and automatically changes it. When my PS4 is off and I connect my MacBook the monitor instantly connects.The speakers suck though. They are quiet. They have no bass either.I paid roughly 88 dollars with tax for this screen and it was a good deal. Just keep in mind this is a 1080P screen so it’s not as good quality as a 1440p or 4k screen. Keep your expectations low. It’s a good secondary screen or a gaming device. It’s not great for photo or video editing if you want something with super high definition."
"43","Sceptre New 27-inch Gaming","Martin Stearns","July 23, 2024",4.5,"Great value, perfect for college students","This monitor is a great value for college students, for an office, or budget/beginner gaming computer. The color quality is not great compared to more expensive monitors tailored for gaming, but it is not a serious problem and it works great for the price. The best part about this monitor is the compact packaging and it is lightweight. You are provided with two screws and a screwdriver, which screws on the back of the monitor neck to hold the monitor in place. To disassemble, you just take out those screws, you can put everything back in the foam, and slide it back in the box. Then, you can carry the box easily under one arm. That’s why this is the perfect monitor for college move-ins/outs or anyone on the move with a monitor. I need two hands to carry the box of my more expensive Acer Nitro gaming monitor, but not this one. Finally, no computer monitor speakers are high quality, so don’t expect a rock concert coming out of any monitor speakers. They are just fine."
"44","Sceptre New 27-inch Gaming","Timothy Wong","December 4, 2024",4.5,"Good price and great quality","I purchased one of these to be my secondary monitor, it has a very good picture, was light weight and easy to set up. I even bought my wife one of these for her to use as the price was so good compared to the quality I received."
"45","Sceptre New 27-inch Gaming","Andrew","December 7, 2024",4.4,"Excellent monitor at a reasonable price","Very nice display for the price.  My only complaint is that the audio is poor.  But I don't plan to use it for audio."
"46","Sceptre New 27-inch Gaming","Jeremey Hall","August 21, 2024",4.6,"Fantastic Monitor for Gaming and Everyday Use","This 27-inch Sceptre monitor has been a great addition to my setup. The 100Hz refresh rate and 1ms response time make gaming super smooth, with no noticeable lag. The colors are vibrant, and the 100% sRGB coverage really makes everything pop, whether I'm gaming or working on design projects.The frameless design looks sleek on my desk, and the multiple ports (two HDMI and one DisplayPort) make it easy to switch between my PC and console. The built-in speakers are a nice touch—good enough for casual use, though I still prefer my external speakers for serious gaming.One of the best features for me is the eye care technology. I spend long hours in front of the screen, and this monitor significantly reduces eye strain. The AMD FreeSync works flawlessly, ensuring smooth, tear-free gameplay.Overall, this monitor is a steal for the price. It’s perfect for anyone looking for a solid, affordable option that performs well across the board."
"47","Sceptre New 27-inch Gaming","chris c","December 6, 2024",4.5,"I'm super happy with this Monitor","I'm a visual artist (an oil painter). I have been using a television monitor hooked up to my computer to enlarge photo references to paint from. The television finally gave up so I replaced it with this monitor. I thought it would be a snap to set up, but honestly, it was frustrating as heck. I'm not a techno-phobe, but I'm not all that savvy and the instruction booklet did not spell everything out. Eventually I called the 1-800 number provided. The first surprise is that I called in early evening and a real person answered within minutes. The support guy was REALLY good, patient and clear. Within a few minutes the new monitor was up and running...and it is amazing! Fabulous color...I'm 100% happy with the monitor *and* with customer service."
"48","Sceptre New 27-inch Gaming","Tricia ","December 8, 2024",4.4,"Great gaming monitor","Love the size and color. For the cost this was awesome. Would definitely buy more. I use it for work"
"49","Sceptre New 27-inch Gaming","boricuagoddess79","July 28, 2023",4.5,NA,"Sem problemas."
"50","Sceptre New 27-inch Gaming","J.F. Meireles","November 29, 2023",4.5,NA,"صراحه كنت متردد فيها لاني حاب استخدمها لسوني ٥بس الحمدلله رهيبه بالالعاب كول اوف وسبيدر وفونايت كلها سلسه وجميله جدايعني باختصار اذ على جودة كنك حاط 1080 جدا مناسبه للأفلام والألعابمشكلتها فقط الصوتواذ عندك سماعه ما تفرق معاكغير كذا افضل تاخذ هذي الشاشه منها تلعب ومنها تتفرج فيها يوتيوب ونت فلكس وجميع البرامج"
"51","Sceptre New 27-inch Gaming","fahad","October 19, 2020",5,NA,"Great product, the visuals are amazing. I use this monitor for gaming and it runs smoother than my tv. What sets this monitor aside from most monitors is that it has an input audio and output audio source which is pretty awesome because I can just plug my headphones into the monitor and hear everything clearly. The audio on its own is not the greatest without headphones as I’m used to the surround sound system on my tv, however if you put headphones into the monitor, the sound is perfect. In terms of the audio without headphones, I had difficulty trying to distinguish where enemies were during games based on their footsteps, however when I put headphones in, I was able to properly distinguish where people were. So I’m conclusion, it’s an amazing product and definitely worth your money, but if you’re gonna use it for gaming, make sure you have headphones or another audio input !!"
"52","Sceptre New 27-inch Gaming","Mahir Sayed","January 2, 2023",5,NA,"NA"
"53","Sceptre New 27-inch Gaming","Saw ","December 4, 2024",5,NA,"Es un buen monitor, lo considero calidad estándar, bien por el precio, hasta ahora no ha tenido falla, los colores no son precisos, lo uso como monitor secundario, para lo cual recomiendo su uso si no necesitas editar fotos o video, si es tu monitor principal tendrías ese detalle en los colores, fueran de eso funciona como se espera"
"54","Sceptre New 27-inch Gaming","Memo Rock",NA,5,NA,NA
"55","Sceptre New 27-inch Gaming",NA,NA,5,NA,NA
"56","Sceptre New 27-inch Gaming",NA,NA,5,NA,NA
"57","Sceptre New 27-inch Gaming",NA,NA,4,NA,NA
"58","Sceptre New 27-inch Gaming",NA,NA,5,NA,NA
"59","Sceptre New 27-inch Gaming",NA,NA,5,NA,NA
"60","Sceptre New 27-inch Gaming",NA,NA,5,NA,NA
