"ProductTitle","Price","Ratings","Reviews","Description"
"maxsun AMD Radeon RX 550 4GB GDDR5 ITX Computer PC Gaming Video Graphics Card GPU 128-Bit DirectX 12 PCI Express X16 3.0 DVI-D Dual Link, HDMI, DisplayPort",83.9,4.3,"1,307","FREE delivery Fri, Dec 13 to Philippines "
"MSI Gaming GeForce RTX 3060 12GB 15 Gbps GDRR6 192-Bit HDMI/DP PCIe 4 Torx Twin Fan Ampere OC Graphics Card",279.9,4.7,"3,471","FREE delivery Fri, Dec 13 to Philippines "
"MSI GeForce RTX 4070 Ti Super 16G Ventus 3X Black OC Graphics Card (NVIDIA RTX 4070 Ti Super, 256-Bit, Extreme Clock: 2655 MHz, 16GB GDRR6X 21Gbps, HDMI/DP, Ada Lovelace Architecture)",284.9,4.5,"75","More Buying Choices$274.50(20+ used & new offers)"
"GIGABYTE GeForce RTX 4060 Gaming OC 8G Graphics Card, 3X WINDFORCE Fans, 8GB 128-bit GDDR6, GV-N4060GAMING OC-8GD Video Card",319.9,4.7,"368","FREE delivery to Philippines"
"610 Graphics Card, 1GB DDR3 64bit, DVI, VGA, HDMI, PCI Express 2.0 x 16, Desktop Video Card for PC, Cooling Fan, Desktop Video Card for Office Home",24.4,4.1,"8","More Buying Choices$282.12(3 used & new offers)"
"GDSTIME Graphic Card Fans, Graphics Card Cooler, Video Card Cooler, PCI Slot Dual 90mm 92mm Fans, VGA Cooler",30.5,4,"505","Exclusive Prime price"
"GeForce GTX 1050 4GB Low Profile Graphics Card GDDR5 128 Bit 2 Monitor Video Card HDMI 2.0 Display Port 1.4 PCI Express 3.0 x16 Bus Powered",11.9,4.3,"22","Exclusive Prime price"
"LICHIFIT Half-Height Graphics Card Cooling Fan FS1250-S2053A for Gigabyte GTX1050ti 1050 1030 N710",20.9,4.7,"49","Exclusive Prime price"
"GTX 750Ti Graphics Card, 2GB GDDR5 128bit Direct X12 640SP Gaming Video Card, PCI Express 3.0x16 Interface, HDMI, DVI-D, VGA, Single Fan, Low Power GPU for Working Gaming",132.7,4.3,"15","Join Prime to buy this item at $10.39"
"GeForce GTX 1660 Ti Graphics Card, 6GB GDDR6 192bit Video Card for Gaming GPU PCIe 3.0 x16 DP HDMI DVI 1080P 2K Game PC Card 1660ti 4K 8K Display (GTX 1660 Ti - Red)",165.9,4.1,"37","Exclusive Prime price"
"Radeon HD 6570 Graphics Card, Dual HDMI, 1G GDDR3 64-bit, Video Cards PC, Low Profile, Computer GPU, PCI Express x 16, 60W Low Power, Plug & Play, Single Fan Air Cooling",12.9,4.2,"149","$10.00 off coupon appliedSave $10.00  with coupon "
"Radeon RX 550 LP Graphics Card, Low Profile 4GB GDDR5 Small Form Factor Video Card for Gaming 4K Display Desktop/Mini PC SFF Video Card (RX 550 4GB Low Profile)",67.1,4.2,"39","5% off coupon appliedSave 5%  with coupon "
