"ProductTitle","Price","Ratings","Reviews","Description"
"Amazon Fire Max 11 tablet (newest model) vivid 11” display, all-in-one for streaming, reading, and gaming, 14-hour battery life, optional stylus and keyboard, 64 GB, Gray",159.9,4.4,"10,580","FREE delivery Fri, Dec 13 to Philippines "
"Amazon Fire 7 tablet (newest model) 7” display, read and watch, under $60 with 10-hour battery life, 16 GB, Black",229.9,4.4,"17,860","FREE delivery to Philippines"
"ASUS 15.6” Vivobook Go Laptop, Intel Dual Core N4500, 4GB RAM, 128GB SSD, Windows 11 in S Mode, Star Black, L510KA-ES04",262.6,4.1,"1,164","FREE delivery Mon, Dec 16 to Philippines "
"HP Stream 14"" HD BrightView Laptop, Intel Celeron N4120, 16GB RAM, 288GB Storage (128GB eMMC + 160GB Docking Station Set), Intel UHD Graphics, 720p Webcam, Wi-Fi, 1 Year Office 365, Win 11 S, Silver",399,4.3,"2,000","Only 16 left in stock - order soon."
"ASUS Vivobook Go 15.6” FHD Slim Laptop, AMD Ryzen 3 7320U Quad Core Processor, 8GB DDR5 RAM, 128GB SSD, Windows 11 Home, Fast Charging, Webcam Sheild, Mixed Black, E1504FA-AS33",299,4.1,"256","More Buying Choices$295.00(7+ used & new offers)"
"HP Laptop, 15.6"" Business Laptop Computer, Windows 11 Pro with Microsoft Office Lifetime Suite, Intel Core i5 Quad-Core,1920x1080 FHD, Plusera Earphones, Silver (Intel Core i5, 36GB RAM | 1TB SSD)",249.9,4.2,"24","Exclusive Prime price"
"Fusion5 13th Gen 14.1"" Full HD Windows 11 Laptop - 512GB M.2 SSD Storage, 8GB DDR5 RAM, T90B Pro, N100 Quad Core, Dual WiFi, USB 3.0, 2MP, Webcam, 2023 Model",269,4.3,"141","FREE delivery Fri, Dec 13 to Philippines "
"Laptop Computer, 15.6 Inch FHD IPS Display Laptop, 16GB LPDDR5 RAM Laptops, 4-Cores N100 Processor, Up to 3.4 GHz, 11 Pro, WiFi 6, BT 5.0, Webcam, USB-C, Long Lasting Battery",348.9,4.6,"19","FREE delivery to Philippines"
"Lenovo ThinkPad E16 Business Laptop, 16"" WUXGA Display, AMD Ryzen 5 7530U (Beat i7-1165G7), 24GB RAM, 1TB PCIe SSD, Webcam, HDMI, RJ-45, Fingerprint Reader, Wi-Fi 6, Windows 11 Pro, Black",676,4.2,"126","More Buying Choices$151.99(10+ used & new offers)"
"Lenovo IdeaPad Flex 3i Chromebook Laptop, Intel® UHD Graphics, 15.6” FHD Display, Intel Pentium N6000, 8GB RAM, 128GB SSD, 1920x1080 px, Touchscreen, Chrome OS, Abyss Blue",299.9,4.4,"62","FREE delivery Fri, Dec 13 to Philippines "
"acer Aspire 3 A315-24PT-R0UX Slim Laptop, 15.6"" Full HD IPS Touch Display, AMD Ryzen 5 7520U Quad-Core Processor, AMD Radeon Graphics, 16GB LPDDR5, 512GB NVMe SSD, Wi-Fi 6, Windows 11 Home",399.9,4.4,"39,284","FREE delivery Mon, Dec 16 to Philippines "
"Amazon Fire Max 11 Keyboard Case (Only compatible with 13th generation tablet, 2023 release)",399.9,4.6,"1,590","FREE delivery Fri, Dec 13 to Philippines "
"HP Chromebook 14 inch Laptop, FHD Display, Intel N100, 4 GB RAM, 64 GB eMMC, Intel UHD Graphics, Chrome OS 14a-nf0009nr (2024)",519.9,4.3,"76","FREE delivery to Philippines"
"Lenovo IdeaPad 3i Chromebook, 15.6” FHD Display, Intel Celeron N4500, 8GB RAM, 64GB eMMC, 1920x1080 px, 720p Camera, Chrome OS, Abyss Blue",209.9,4.2,"358","FREE delivery Mon, Dec 16 to Philippines "
