"ProductTitle","Price","Ratings","Reviews","Description"
"Corsair 3000D RGB Airflow Mid-Tower PC Case – 3X AR120 RGB Fans – Three-Slot GPU Support – Fits up to 8X 120mm Fans – High-Airflow Design – Black",79.9,4.7,"18,439","Delivery Fri, Dec 13 to Philippines "
"NZXT H5 Flow 2024 - Compact ATX Mid-Tower PC Gaming Case - High Airflow - 2 x 120mm Fans Included - 360mm Front & 240mm Top Radiator Support - Cable Management System - Tempered Glass - Black",114.9,4.8,"4,117","Delivery Fri, Dec 13 to Philippines "
"CORSAIR 4000D AIRFLOW Tempered Glass Mid-Tower ATX Case - High-Airflow - Cable Management System - Spacious Interior - Two Included 120 mm Fans - Black",94.9,4.7,"18,439","Delivery Fri, Dec 13 to Philippines "
"CORSAIR 3500X ARGB Mid-Tower ATX PC Case – Panoramic Tempered Glass – Reverse Connection Motherboard Compatible – 3X CORSAIR RS120 ARGB Fans Included – White",74.9,4.6,"151","More Buying Choices$74.17(2+ used & new offers)"
"MSI MAG Forge 112R - Premium Mid-Tower Gaming PC Case - Tempered Glass Side Panel - ARGB 120mm Fans - Liquid Cooling Support up to 240mm Radiator - Vented Front Panel",104.9,4.5,"234","Delivery Fri, Dec 13 to Philippines "
"darkFlash ATX Mid-Tower Gaming PC Case, Pre-Installed 3x120mm Fix RGB Fans, with Magnetic Large Mesh Front Panel, USB3.0 Ready, Tempered Glass Side Panel Airflow Computer Case, White(DRX70)",89.9,4.6,"43","More Buying Choices$86.39(3+ used & new offers)"
"GIM ATX Gaming PC Case, 270° Full View Tempered Glass, 360MM RAD Support, Mid Tower Computer Case with Front Panel RGB Strip, ATX PC Case with USB 3.0 I/O Port & 2 Magnet Dust Filter (Black)",109.9,4.4,"765","Delivery Fri, Dec 13 to Philippines "
"KEDIERS Micro ATX Tower PC Case 7 ARGB Fans Gaming PC Mini Case with 2*Tempered Glass (Black)",69.9,4.1,"90","More Buying Choices$69.29(4+ used & new offers)"
"darkFlash ATX Mid-Tower PC Case, Pre-Install 4 PWM ARGB Fans Computer Case, Full View Dual Tempered Glass Gaming PC Case, Type C Port, Supports up to 360mm Water Cooling Radiator,White(DS900)",89.9,4.3,"65","Exclusive Prime price"
"DARKROCK Classico Storage Master Case ATX Computer Case Mid Tower with 4x120mm Fans, USB 3.0 Ready 10 x3.5'' HDD+3 x2.5'' SDD 360mm Supported on Top & Front Radiator GPU Vertically Mounting Black",63.5,4.1,"88","10% off coupon appliedSave 10%  with coupon "
"NZXT H5 Flow Compact ATX Mid-Tower PC Gaming Case – High Airflow Perforated Tempered Glass Front/Side Panel – Cable Management – 2 x 120mm Fans Included – 280mm Radiator Support – Black",115.9,4.8,"4,117","Only 2 left in stock - order soon."
"Aqua 7, Pre-Installed 6 × 120mm PWM ARGB Fan, ATX Mid Tower PC Case, Computer case with Panoramic View Tempered Glass Front & Side Panel, Type C Port, Gaming PC Case, Black",79.9,4.5,"162","More Buying Choices$69.29(4+ used & new offers)"
"Corsair 5000D Airflow Tempered Glass Mid-Tower ATX PC Case - Black",99,4.8,"5,433","Delivery Mon, Dec 16 to Philippines "
