"Ranking","TV_Show_Title","Episodes","Release_Year","Rating","No._of_Voter","User_Review","Popularity","Critic_Reviews"
"1"," Breaking Bad","62 eps","2008–2013","9.5"," (2.2M)","5,104 reviews","20","175"
"2"," Planet Earth II","6 eps","2016","9.5"," (162K)","158 reviews","999","6"
"3"," Planet Earth","11 eps","2006","9.4"," (224K)","111 reviews","1,778","10"
"4"," Band of Brothers","10 eps","2001","9.4"," (546K)","1,057 reviews","153","34"
"5"," Chernobyl","5 eps","2019","9.3"," (909K)","3,534 reviews","146","88"
"6"," The Wire","60 eps","2002–2008","9.3"," (391K)","787 reviews","104","77"
"7"," Avatar: The Last Airbender","62 eps","2005–2008","9.3"," (390K)","1,002 reviews","357","57"
"8"," Blue Planet II","7 eps","2017","9.3"," (49K)","53 reviews","4,122","9"
"9"," The Sopranos","86 eps","1999–2007","9.2"," (500K)","966 reviews","31","93"
"10"," Cosmos: A Spacetime Odyssey","13 eps","2014","9.2"," (131K)","205 reviews","1,571","12"
"11"," Cosmos","13 eps","1980","9.3"," (46K)","80 reviews","3,645","8"
"12"," Our Planet","12 eps","2019–2023","9.2"," (54K)","245 reviews","2,401","15"
"13"," Game of Thrones","74 eps","2011–2019","9.2"," (2.4M)","5,904 reviews","16","368"
"14"," Bluey","194 eps","2018– ","9.3"," (34K)","368 reviews","373","4"
"15"," The World at War","26 eps","1973–1974","9.2"," (31K)","126 reviews","2,532","5"
"16"," Fullmetal Alchemist Brotherhood","68 eps","2009–2010","9.1"," (209K)","467 reviews","474","16"
"17"," Rick and Morty","78 eps","2013– ","9.1"," (628K)","910 reviews","125","94"
"18"," Life","11 eps","2009","9.1"," (44K)","12 reviews","3,057","9"
"19"," The Last Dance","10 eps","2020","9.0"," (160K)","542 reviews","1,403","28"
"20"," The Twilight Zone","156 eps","1959–1964","9.0"," (97K)","213 reviews","337","85"
"21"," The Vietnam War","10 eps","2017","9.1"," (29K)","175 reviews","1,739","13"
"22"," Sherlock","15 eps","2010–2017","9.1"," (1M)","1,098 reviews","160","121"
"23"," Attack on Titan","98 eps","2013–2023","9.1"," (564K)","2,369 reviews","50","64"
"24"," Batman: The Animated Series","85 eps","1992–1995","9.0"," (123K)","219 reviews","463","25"
"25"," Arcane","18 eps","2021–2024","9.0"," (325K)","2,153 reviews","1","56"
